protein,average_distance_to_tss
ATF4,114144.1009285426
CHD2,52688.444351697275
FOXP4,112300.21334288956
HLF,205061.70929288614
CEBPB,227366.05706188516
SP2,47490.33741801864
ZFP90,53310.42670354539
NFE2L2,314355.6250714694
CCDC6,50511.216606498194
CSRNP2,41032.40078585462
KLF13,34850.131944444445
SREBF1,41652.95687134503
MEIS1,61873.4481865285
MBD1,68526.56569543705
ZNF639,36981.564808814
HOXA3,64739.61903206489
NR0B2,34994.414114902305
RBPJ,68363.47208121828
RFX5,88698.044079959
NAIF1,45206.092434314654
PCBP2,208862.6624266145
ZNF670,56350.13037166086
SAFB2,34234.64316987741
ZNF441,71868.59092431347
ZNF615,52856.03975799481
HDAC1,66317.65964285714
ZBTB46,43846.44736842105
STAT5B,66044.98032786885
ZNF432,89116.6592920354
GLMP,58393.68932038835
ZNF770,56669.580396412865
TSC22D1,39681.53770812928
KAT8,67943.48039626064
ZNF44,41144.247267759565
ZNF557,63914.35164835165
MYBL2,84120.12696379781
ZNF703,65700.59216589862
ZNF766,52862.16324399583
TEAD1,127472.14219942887
ZSCAN12,50541.35630252101
SALL1,89570.97221822369
JARID2,41277.05186721992
H4K20me1,34455.89489168227
ADNP,54720.65988483685
SETDB1,162023.51351351352
SMAD3,82691.47438583127
H3K4me2,46456.598915376795
GTF2F1,81097.4507454739
RFXANK,57112.8833441348
MYC,52108.265084417384
LIN54,73628.33081126523
PIN1,44988.7952994693
ZNF146,281620.7806917522
ZBED4,57820.56883061958
ARHGAP35,37982.57718446602
TCF7L2,128674.34412309593
KIAA2018,31866.502173913042
ZNF296,45109.06845637584
GATAD1,54987.291331546025
ELF1,72902.98844319432
FOSL1,136558.30002064837
GPBP1L1,87561.0
HNF1B,69632.77623173187
ZNF691,55403.70009505704
HDAC6,25874.02380952381
GFI1,102001.22047503848
ZNF446,35028.996781609196
SOX6,125124.33108027514
ZMAT5,56886.09917355372
KMT2B,49725.07276166457
PPARGC1A,25771.57894736842
ISL2,116670.63593871721
ZBTB24,64509.66342412451
MTA3,67640.38461538461
ZNF687,75302.81463529659
HES4,45452.32892606584
ATAD3A,62395.09022556391
ZNF546,37648.87244666364
ZCCHC11,62839.34940855323
SFPQ,53963.69755389718
GLI4,38959.038309859156
ZNF761,54742.241643667585
TRAFD1,39107.44241316271
ZNF704,39672.20159399906
ZNF550,39179.146757679184
RXRB,99318.19199069626
PLRG1,805015.0360824743
ZNF30,34784.3480565371
ZNF777,68337.39425287356
TCF12,73976.60620347394
ARID4A,50170.363147202544
ZNF33B,43291.61016949153
BCLAF1,1073237.0
MLXIP,72248.46542056075
MAF1,46366.56535334584
output.bed,
ZFY,60971.68655605191
TFDP1,63557.40810711665
ZNF724P,51405.05827672506
ZNF124,83745.75792880259
REL,34351.05265610438
SMAD4,95404.3448261924
ZNF577,39050.4238410596
GLYR1,41277.72422139745
SRSF1,87065.29630398672
FIP1L1,81333.97603305786
ZNF17,67803.96263736264
HNRNPUL1,173248.63239770036
RARA,111985.36840689946
MED1,83048.15052303359
ZNF746,51477.54601357082
NFIB,54413.26195899772
TAF1,46494.876116612424
ZNF512,98337.90950226244
KDM5A,30627.944529165077
ASH2L,130355.49545238848
ZNF48,62279.90239551478
DDIT3,71472.62962962964
BORCS8,53569.414505283385
ZNF180,40602.11627906977
SCMH1,175845.45454545456
NONO,110681.45081462212
ETV4,78966.44418033437
ZHX2,44740.84331614439
ZXDC,38673.77181521232
SIX1,127874.94068215521
ZNF224,43764.112080244224
RCOR2,92538.41741374627
MYRF,56401.95127610209
MTERF4,39398.1993006993
H3K79me2,25104.557637829592
U2AF2,172043.28268082283
ZNF619,40732.73493333333
ZNF232,60455.000503778334
ZZZ3,39001.78086710651
ZBTB39,65209.67436694802
SP5,70546.42841809776
ZFP14,59765.303867403316
GMEB2,33467.99079528719
PRDM10,62410.17289096365
ATF3,91603.87450894805
ZNF646,107846.56445649495
FOXA3,130409.99526315789
XBP1,54042.535211267605
MBNL3,99468.3950617284
ETS1,92313.55484667627
SRY,40565.04678362573
ZNF367,38629.35639412998
H2AFZ,79649.80938628159
ZFX,60360.00430253623
TIGD3,38020.57042253521
MXD4,43597.31214470284
ZNF547,42414.42335924007
ZNF713,29141.297520661155
AGO1,84506.91313755796
ZNF790,37352.91504605937
MAFK,474614.3964527811
E2F1,43619.654227136605
ZNF786,46944.17058428475
NCOR1,108495.13444759803
SP110,35879.56511056511
ZNF776,37185.240333135036
THRA,90643.0740314877
KDM6A,118542.14068441065
ZNF660,46148.50476190476
NPAS2,48723.725099601594
SMC3,199078.28743538435
ZKSCAN8,80278.935828877
ZBTB40,145122.50933959376
ZBTB33,74825.16259705188
ZBTB7A,51569.301015815865
MTF1,51503.58319467554
ZBTB8A,38964.26696165192
ZBTB25,60725.9886404616
ZFP41,33535.354237288135
ZNF451,37751.87892211148
AFF4,28566.222222222223
ZNF605,51059.12106666667
RFX3,93708.446127465
ZBTB1,44490.503631961255
POU2F1,64044.25002918174
CC2D1A,46815.618881118884
PITX1,89904.52712348323
HOXA5,65154.927385477095
KLF15,37788.569348659
ZFP36L1,56186.89293633196
NR2F6,102892.92753064199
BCL3,44959.18956043956
